Filename,Classification,Voltage,Time,CNR,SNR
Iodine_140Kvp-430mAs_103.tif,Iodine,140,430,0.0,0.0
Iodine_140Kvp-430mAs_104.tif,Iodine,140,430,0.0,0.0
Iodine_140Kvp-430mAs_105.tif,Iodine,140,430,4.491630528,5.823850544
Iodine_140Kvp-430mAs_106.tif,Iodine,140,430,5.983274107,4.667813969
Iodine_140Kvp-430mAs_107.tif,Iodine,140,430,0.0,0.0
Iodine_140Kvp-430mAs_108.tif,Iodine,140,430,0.0,0.0
Iodine_140Kvp-430mAs_109.tif,Iodine,140,430,0.0,0.0
Iodine_140Kvp-430mAs_110.tif,Iodine,140,430,0.0,0.0
Iodine_140Kvp-430mAs_111.tif,Iodine,140,430,0.0,0.0
Iodine_140Kvp-430mAs_112.tif,Iodine,140,430,6.127446615,-1.546635424
Iodine_140Kvp-430mAs_113.tif,Iodine,140,430,5.309096983,-1.205751785
Iodine_140Kvp-430mAs_114.tif,Iodine,140,430,0.0,0.0
Iodine_140Kvp-430mAs_115.tif,Iodine,140,430,3.723828706,-0.425990514
Iodine_140Kvp-430mAs_116.tif,Iodine,140,430,2.537612483,-2.893198319
Iodine_140Kvp-430mAs_117.tif,Iodine,140,430,4.13003116,0.96847922
Iodine_140Kvp-430mAs_118.tif,Iodine,140,430,8.901384878,2.402363625
Iodine_140Kvp-430mAs_119.tif,Iodine,140,430,5.971303604,18.85577392
Iodine_140Kvp-430mAs_120.tif,Iodine,140,430,9.591235886,11.50637283
Iodine_140Kvp-430mAs_121.tif,Iodine,140,430,16.65273273,5.162095911
Iodine_140Kvp-430mAs_122.tif,Iodine,140,430,0.0,0.0
Iodine_140Kvp-430mAs_123.tif,Iodine,140,430,6.506921961,2.152811514
Iodine_140Kvp-430mAs_124.tif,Iodine,140,430,0.0,0.0
Iodine_140Kvp-430mAs_125.tif,Iodine,140,430,0.0,0.0
Iodine_140Kvp-430mAs_126.tif,Iodine,140,430,5.276603448,-0.73798187
Iodine_140Kvp-430mAs_127.tif,Iodine,140,430,0.0,0.0
Iodine_140Kvp-430mAs_128.tif,Iodine,140,430,4.371184136,0.018847007
Iodine_140Kvp-430mAs_129.tif,Iodine,140,430,2.645974445,-2.654517104
Iodine_140Kvp-430mAs_130.tif,Iodine,140,430,2.756784903,-1.017066503
BiNPs50nm_80Kvp-215mAs_1.tif,BiNPs 50nm,80,215,-2.398106374,-39.76370246
BiNPs50nm_80Kvp-215mAs_2.tif,BiNPs 50nm,80,215,-4.768585835,-82.69633264
BiNPs50nm_80Kvp-215mAs_3.tif,BiNPs 50nm,80,215,-5.254156306,-104.5026818
BiNPs50nm_80Kvp-215mAs_4.tif,BiNPs 50nm,80,215,-5.049539238,-81.65565198
BiNPs50nm_80Kvp-215mAs_5.tif,BiNPs 50nm,80,215,-6.236298625,-96.21872851
BiNPs50nm_80Kvp-215mAs_6.tif,BiNPs 50nm,80,215,2.293602789,40.38311391
BiNPs50nm_80Kvp-215mAs_7.tif,BiNPs 50nm,80,215,-8.450440352,-151.1495542
BiNPs50nm_80Kvp-215mAs_8.tif,BiNPs 50nm,80,215,-6.11416891,-114.5029271
BiNPs50nm_80Kvp-215mAs_9.tif,BiNPs 50nm,80,215,-5.009434399,-100.1782633
BiNPs50nm_80Kvp-215mAs_10.tif,BiNPs 50nm,80,215,0.232230551,7.317272602
BiNPs50nm_80Kvp-215mAs_11.tif,BiNPs 50nm,80,215,-2.309315368,-134.9214662
BiNPs50nm_80Kvp-215mAs_12.tif,BiNPs 50nm,80,215,-3.26734357,-328.2187902
BiNPs50nm_80Kvp-215mAs_13.tif,BiNPs 50nm,80,215,-3.746664291,-209.5450062
BiNPs50nm_80Kvp-215mAs_14.tif,BiNPs 50nm,80,215,-5.425228164,-574.3193163
BiNPs50nm_80Kvp-215mAs_15.tif,BiNPs 50nm,80,215,1.234655297,13.63392561
BiNPs50nm_80Kvp-215mAs_16.tif,BiNPs 50nm,80,215,-3.523600509,-54.56062843
BiNPs50nm_80Kvp-215mAs_17.tif,BiNPs 50nm,80,215,4.143866171,80.13122772
BiNPs50nm_80Kvp-215mAs_18.tif,BiNPs 50nm,80,215,-0.614953861,-13.84047109
BiNPs50nm_80Kvp-215mAs_19.tif,BiNPs 50nm,80,215,4.644151315,124.8585967
BiNPs50nm_80Kvp-215mAs_20.tif,BiNPs 50nm,80,215,1.527562032,53.11739216
BiNPs50nm_80Kvp-215mAs_21.tif,BiNPs 50nm,80,215,-2.648071625,-74.49067568
BiNPs50nm_80Kvp-215mAs_22.tif,BiNPs 50nm,80,215,-1.492011716,-33.75644486
BiNPs50nm_80Kvp-215mAs_23.tif,BiNPs 50nm,80,215,1.107538052,29.31820355
BiNPs50nm_80Kvp-215mAs_24.tif,BiNPs 50nm,80,215,-3.089179186,-249.5669121
