Absolute File Name,Filename,Image No,Amplification,Classification,Voltage,Time,CNR,SNR
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_103.tif,Iodine_140Kvp-430mAs_103.tif,103,140Kvp-430mAs,Iodine,140,430,0,0
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_104.tif,Iodine_140Kvp-430mAs_104.tif,104,140Kvp-430mAs,Iodine,140,430,0,0
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_105.tif,Iodine_140Kvp-430mAs_105.tif,105,140Kvp-430mAs,Iodine,140,430,4.491630528,5.823850544
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_106.tif,Iodine_140Kvp-430mAs_106.tif,106,140Kvp-430mAs,Iodine,140,430,5.983274107,4.667813969
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_107.tif,Iodine_140Kvp-430mAs_107.tif,107,140Kvp-430mAs,Iodine,140,430,0,0
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_108.tif,Iodine_140Kvp-430mAs_108.tif,108,140Kvp-430mAs,Iodine,140,430,0,0
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_109.tif,Iodine_140Kvp-430mAs_109.tif,109,140Kvp-430mAs,Iodine,140,430,0,0
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_110.tif,Iodine_140Kvp-430mAs_110.tif,110,140Kvp-430mAs,Iodine,140,430,0,0
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_111.tif,Iodine_140Kvp-430mAs_111.tif,111,140Kvp-430mAs,Iodine,140,430,0,0
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_112.tif,Iodine_140Kvp-430mAs_112.tif,112,140Kvp-430mAs,Iodine,140,430,6.127446615,-1.546635424
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_113.tif,Iodine_140Kvp-430mAs_113.tif,113,140Kvp-430mAs,Iodine,140,430,5.309096983,-1.205751785
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_114.tif,Iodine_140Kvp-430mAs_114.tif,114,140Kvp-430mAs,Iodine,140,430,0,0
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_115.tif,Iodine_140Kvp-430mAs_115.tif,115,140Kvp-430mAs,Iodine,140,430,3.723828706,-0.425990514
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_116.tif,Iodine_140Kvp-430mAs_116.tif,116,140Kvp-430mAs,Iodine,140,430,2.537612483,-2.893198319
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_117.tif,Iodine_140Kvp-430mAs_117.tif,117,140Kvp-430mAs,Iodine,140,430,4.13003116,0.96847922
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_118.tif,Iodine_140Kvp-430mAs_118.tif,118,140Kvp-430mAs,Iodine,140,430,8.901384878,2.402363625
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_119.tif,Iodine_140Kvp-430mAs_119.tif,119,140Kvp-430mAs,Iodine,140,430,5.971303604,18.85577392
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_120.tif,Iodine_140Kvp-430mAs_120.tif,120,140Kvp-430mAs,Iodine,140,430,9.591235886,11.50637283
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_121.tif,Iodine_140Kvp-430mAs_121.tif,121,140Kvp-430mAs,Iodine,140,430,16.65273273,5.162095911
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_122.tif,Iodine_140Kvp-430mAs_122.tif,122,140Kvp-430mAs,Iodine,140,430,0,0
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_123.tif,Iodine_140Kvp-430mAs_123.tif,123,140Kvp-430mAs,Iodine,140,430,6.506921961,2.152811514
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_124.tif,Iodine_140Kvp-430mAs_124.tif,124,140Kvp-430mAs,Iodine,140,430,0,0
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_125.tif,Iodine_140Kvp-430mAs_125.tif,125,140Kvp-430mAs,Iodine,140,430,0,0
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_126.tif,Iodine_140Kvp-430mAs_126.tif,126,140Kvp-430mAs,Iodine,140,430,5.276603448,-0.73798187
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_127.tif,Iodine_140Kvp-430mAs_127.tif,127,140Kvp-430mAs,Iodine,140,430,0,0
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_128.tif,Iodine_140Kvp-430mAs_128.tif,128,140Kvp-430mAs,Iodine,140,430,4.371184136,0.018847007
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_129.tif,Iodine_140Kvp-430mAs_129.tif,129,140Kvp-430mAs,Iodine,140,430,2.645974445,-2.654517104
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\Iodine_140Kvp-430mAs_130.tif,Iodine_140Kvp-430mAs_130.tif,130,140Kvp-430mAs,Iodine,140,430,2.756784903,-1.017066503
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\BiNPs50nm_80Kvp-215mAs_1.tif,BiNPs50nm_80Kvp-215mAs_1.tif,1,80Kvp-215mAs,BiNPs 50nm,80,215,-2.398106374,-39.76370246
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\BiNPs50nm_80Kvp-215mAs_2.tif,BiNPs50nm_80Kvp-215mAs_2.tif,2,80Kvp-215mAs,BiNPs 50nm,80,215,-4.768585835,-82.69633264
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\BiNPs50nm_80Kvp-215mAs_3.tif,BiNPs50nm_80Kvp-215mAs_3.tif,3,80Kvp-215mAs,BiNPs 50nm,80,215,-5.254156306,-104.5026818
C:\Users\danie\OneDrive - University of Exeter\ECM3401 Project\2\img\BiNPs50nm_80Kvp-215mAs_4.tif,BiNPs50nm_80Kvp-215mAs_4.tif,4,80Kvp-215mAs,BiNPs 50nm,80,215,-5.049539238,-81.65565198
